Area,Timestamp,Lat,Lon,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class
Howrah Ghat,2023-01-25,29.4726817,77.7085091,,,7.7,1253.33,222.0,2.24333,77000000,670000000.0,yes
Howrah Ghat,2023-01-26,31.940009,75.247906,15.0,8.0,8.0,177,0.5,0.6,66,662.0,yes
Howrah Ghat,2023-01-27,26.3215985,90.9820667,25.25,6.875,7.175,293,2.2,0.13,90,530.25,yes
Howrah Ghat,2023-01-28,32.597574,75.985873,10.0,9.0,8.0,137,0.4,0.3,4,47.0,yes
Howrah Ghat,2023-01-29,26.8725184,80.9834952,23.6875,8.3625,8.16625,356.75,2.9,1.71167,7500,22000.0,no
Howrah Ghat,2023-01-30,15.4785694,78.4830934,27.0,7.6,7.6,1397,2.3,6,23,1.64,yes
Howrah Ghat,2023-01-31,18.567826,73.811507,25.75,2.03916667,7.76666667,444.908333,13.45,0.6925,264.166667,1750.0,yes
Howrah Ghat,2023-02-01,15.828126,78.037279,26.6,6.33333333,7.532,725.7,3.04,1.44,184,1440.0,yes
Howrah Ghat,2023-02-02,26.458264,74.6362,23.0,7.5,7.5,1225,1.12,4,27,1.16,yes
Howrah Ghat,2023-02-03,20.768577,72.97097,29.5,5.895,7.63,36593,3.855,0.0685,1200,3200.0,yes
Howrah Ghat,2023-02-04,19.855156,79.348705,18.0,7.7,7.7,1144,2.97,52,165,0.73,yes
Howrah Ghat,2023-02-05,20.9951897,84.288444,28.1666667,7.43333333,7.78,177.341667,1.75,0.59043725,525,1069.16667,yes
Howrah Ghat,2023-02-06,22.9720145,86.0079806,26.6818182,7.85454545,7.57272727,165.7,0.6,4.79818182,,,yes
Howrah Ghat,2023-02-07,,,25.5,7.7,7.7,1683,1.77,3,80,,yes
Howrah Ghat,2023-02-08,22.8491137,69.329472,27.6666667,7.38,7.97666667,358.666667,1.89333333,0.21666667,676.666667,1510.0,yes
Howrah Ghat,2023-02-09,20.462521,85.882989,27.25,7.45833333,7.99833333,210.125,2.175,0.47590379,2845.83333,5017.5,yes
Howrah Ghat,2023-02-10,22.2375766,84.8033401,26.3333333,6.35,7.40583333,296.3,4.70833333,4.1453725,8891.66667,18450.0,yes
Howrah Ghat,2023-02-11,27.5329718,88.5122178,,22.41667,6.5,293,3.166667,2.316667,35.25,114.1667,yes
Howrah Ghat,2023-02-12,9.9312328,76.267304,29.0,5.125,7.525,25947.5,2.35,0.41,1150,3575.0,yes
Howrah Ghat,2023-02-13,15.874074,74.387394,24.0,8.1,8.1,1488,4.11,4,70,,no
Howrah Ghat,2023-02-14,31.960582,77.114009,10.0,9.0,8.0,114,0.2,0.3,130,990.0,yes
Howrah Ghat,2023-02-15,31.881756,76.214645,19.0,8.0,8.0,280,0.7,1.1,10,157.0,yes
Howrah Ghat,2023-02-16,10.057906,76.346362,27.3333333,6.76666667,6.93333333,994.75,1.05,0.24,348.5,1258.33333,yes
Howrah Ghat,2023-02-17,33.731125,75.148701,13.0,8.0,8.0,240,2.0,1,,,yes
Howrah Ghat,2023-02-18,14.004254,75.673909,27.25,7.225,7.45,255,2.225,1.233333333,47.5,217.5,yes
Howrah Ghat,2023-02-19,22.68594,88.300612,28.5,7.0,7.0,943,0.05,,,0.04,yes
Howrah Ghat,2023-02-20,18.606902,73.799263,25.75,1.8,7.6325,519.891667,14.75,0.84583333,345.833333,1725.0,yes
Howrah Ghat,2023-02-21,10.546151,76.178708,28.375,4.45,6.45,76.75,1.05,0.34,400,2675.0,no
Howrah Ghat,2023-02-22,27.0514156,79.913673,25.5833,6.63333,7.8975,405.8,6.99167,3.72183,3566.67,20841.7,yes
Howrah Ghat,2023-02-23,18.953437,72.841544,19.0,5.87,7.78833333,620.916667,5.30833333,1.3125,49.25,121.416667,yes
Howrah Ghat,2023-02-24,32.026795,77.351106,8.0,9.0,8.0,62,0.2,0.3,43,353.0,yes
Howrah Ghat,2023-02-25,26.798026,75.770665,30.5,8.1,8.1,1390,0.74,4,6,0.63,no
Howrah Ghat,2023-02-26,25.8146939,72.206768,29.0,8.2,8.2,3200,0.15,3,4,0.4,no
Howrah Ghat,2023-02-27,22.057437,78.938172,22.5,7.8,7.543,495.3,1.94,0.9868,,100.2,yes
Howrah Ghat,2023-02-28,25.653498,93.345482,22.0,7.0,7.0,284,2.0,4,12975,23625.0,yes
Howrah Ghat,2023-03-01,26.873347,80.894278,,7.7,7.7,452,,1.8,1.8,,yes
Howrah Ghat,2023-03-02,23.803243,72.091256,28.0,8.4,8.4,4970,1.82,3,95,1.82,no
Howrah Ghat,2023-03-03,31.931129,75.894059,15.0,8.0,8.0,285,0.0,0.8,3,50.0,yes
Howrah Ghat,2023-03-04,8.7791961,77.425014,25.1666667,7.16666667,7.66233333,86.8333333,1.13333333,0.14083333,48.5833333,113.333333,yes
Howrah Ghat,2023-03-05,16.7279951,16.7279951,26.5,8.3,8.3,1544,18.0,,23,0.55,no
Howrah Ghat,2023-03-06,20.373265,72.910824,27.0,4.33333333,8.42666667,605,6.45,1.677,5,15.0,no
Howrah Ghat,2023-03-07,26.7709618,83.3909575,15.0,3.8,7.32,193,11.8,1.38,37000,38000.0,yes
Howrah Ghat,2023-03-08,31.098266,77.123484,25.0,7.9,7.9,1026,0.22,,2,0.17,yes
Howrah Ghat,2023-03-09,26.120888,85.36472,24.0,7.8,7.8,816,,,8,0.6,yes
Howrah Ghat,2023-03-10,27.1981016,75.881486,31.0,8.1,8.1,735,1.01,3,7,0.5,no
Howrah Ghat,2023-03-11,21.5455841,74.4683333,29.37,6.09,7.545,539.8,5.11,2.84084,22.3333333,69.0,yes
Howrah Ghat,2023-03-12,30.2617154,78.0338077,24.55,3.9,7.5075,733.417,23.0333,0.7,145000,112033.0,yes
Howrah Ghat,2023-03-13,22.057437,78.938172,21.6363636,6.06454545,7.99909091,562,5.30909091,1.91581818,65.8181818,193.636364,yes
Howrah Ghat,2023-03-14,19.164103,72.939128,20.7,5.34166667,7.98416667,456.933333,5.325,0.605,205,1393.75,yes
Howrah Ghat,2023-03-15,13.998209,77.572959,25.8,6.77454545,7.22545455,171.454545,1.0,0.09454545,761.818182,1600.0,yes
Howrah Ghat,2023-03-16,27.4728327,94.911962,22.0,5.775,7.3,178,2.925,0.16,120,1066.667,yes
Howrah Ghat,2023-03-17,11.4225542,79.7748374,31.8333333,7.75,8.12833333,1072.75,1.64666667,0.15833333,148.333333,288.333333,no
Howrah Ghat,2023-03-18,22.0571189,84.6897495,28.9166667,7.39166667,7.90416667,144.266667,1.53333333,0.39437738,624,2352.5,yes
Howrah Ghat,2023-03-19,26.1187737,72.9785352,21.9,7.3,7.3,14200,0.22,4,11,1.05,yes
Howrah Ghat,2023-03-20,21.5601714,81.8743365,28.8571429,6.9375,7.875,235.875,1.6,1.7295,,15.75,yes
Howrah Ghat,2023-03-21,25.603303,85.137137,27.3,7.7,7.7,686,,,19,0.4,yes
Howrah Ghat,2023-03-22,16.748041,74.590887,23.0,8.0,8.0,1507,1.44,3,45,,yes
Howrah Ghat,2023-03-23,27.5300397,94.2652147,20.75,8.925,7.025,104,1.675,0.11,,90.5,yes
Howrah Ghat,2023-03-24,26.238947,73.024309,23.5,7.5,7.5,2100,9.84,5,9,0.87,yes
Howrah Ghat,2023-03-25,11.272018,75.97644,24.6666667,7.10833333,7.14166667,64.3333333,0.61666667,0.39833333,282.5,645.833333,yes
Howrah Ghat,2023-03-26,20.6524526,85.6030439,25.4166667,7.55833333,7.925,149.45,1.66666667,0.68155842,5866.66667,10816.6667,yes
Howrah Ghat,2023-03-27,25.594095,85.137565,22.5,7.2,7.2,653,,,11,1.0,yes
Howrah Ghat,2023-03-28,25.2401294,86.7404394,24.5714,7.81429,7.92857,363.429,2.71429,1.71167,1942.86,3371.43,yes
Howrah Ghat,2023-03-29,27.5682014,76.6057707,29.0,7.6,7.6,860,0.32,4,5,1.13,yes
Howrah Ghat,2023-03-30,30.445283,77.602057,25.0,7.4,7.4,595,0.72,6,11,0.03,yes
Howrah Ghat,2023-03-31,25.379194,81.877067,26.75,6.8,6.8,1207,0.0,,,0.36,yes
Howrah Ghat,2023-04-01,27.1937377,83.1747783,23.5,7.69167,8.16417,370.417,2.76667,0.39167,75,198.333,no
Howrah Ghat,2023-04-02,24.2182429,83.0346073,26.175,7.575,7.74333,177.917,1.39167,0.82417,1100,1800.0,yes
Howrah Ghat,2023-04-03,19.8761653,75.3433139,28.3636364,6.30909091,8.1,969.954545,4.76363636,1.35024545,2.63636364,85.4545455,no
Howrah Ghat,2023-04-04,20.371237,72.90634,29.0,8.2,8.2,,2.12,,,,no
Howrah Ghat,2023-04-05,8.491478,76.961235,28.0416667,0.78333333,7.06666667,1239.16667,11.9083333,1.87091667,4250,11000.0,yes
Howrah Ghat,2023-04-06,26.539345,80.48782,,7.5,7.5,989,3.77,2,2,1.6,yes
Howrah Ghat,2023-04-07,26.6469624,84.9088937,27.0,7.6,7.85666667,849.333333,3.13333333,,5233.33333,17000.0,yes
Howrah Ghat,2023-04-08,22.339252,73.015677,25.0,7.8,8.3,517,1.0,0.36,4,21.0,no
Howrah Ghat,2023-04-09,17.2472528,80.1514446,20.0,5.725,7.5875,343.833333,0.65416667,0.2705,4.5,1308.33333,yes
Howrah Ghat,2023-04-10,11.6759949,78.1915908,27.5833333,2.025,7.54416667,2306.16667,40.3074167,0.51283333,209616.667,351616.667,yes
Howrah Ghat,2023-04-11,22.453447,88.340934,24.5,6.5,6.5,170,0.16,640,960,0.06,yes
Howrah Ghat,2023-04-12,27.1364448,88.3931153,,20.91667,6.22,283,3.833333,2.533333,51.58333,190.0,no
Howrah Ghat,2023-04-13,26.1337646,85.3876454,24.6667,7.6,8.04667,480.333,2.7,1.38,1033.33,2500.0,no
Howrah Ghat,2023-04-14,25.0746938,73.8860099,25.0,6.0,8.0,571,1.0,1,5,44.0,yes
Howrah Ghat,2023-04-15,11.7862533,77.8007853,27.9166667,6.50833333,8.1,416.583333,1.5175,0.19825,165.833333,334.166667,no
Howrah Ghat,2023-04-16,26.449923,80.331874,25.8333,8.625,8.1675,315.74,4.25,2.03217,6666.67,31991.7,no
Howrah Ghat,2023-04-17,20.6644811,81.5527867,28.8,7.8,7.6,347.3,,1.4,,100.8,yes
Howrah Ghat,2023-04-18,11.4500967,77.6822442,27.5833333,5.85833333,7.9875,342.833333,1.29916667,0.16883333,168.333333,347.5,yes
Howrah Ghat,2023-04-19,28.208822,76.8446,29.0,8.2,8.2,2070,2.94,3,5,1.14,no
Howrah Ghat,2023-04-20,9.447611,76.405341,28.25,6.725,6.625,63.75,0.875,1.35,427.5,837.5,yes
Howrah Ghat,2023-04-21,25.4572342,75.6491753,25.75,4.5575,7.71,457.5,1.80416667,0.35,5,22.0833333,yes
Howrah Ghat,2023-04-22,23.3341696,75.0376324,28.6666667,7.05,7.55083333,311.583333,1.98888889,0.72033333,,,yes
Howrah Ghat,2023-04-23,25.435801,81.846311,27.0,6.9,6.9,898,0.0,,,0.47,yes
Howrah Ghat,2023-04-24,23.6922971,86.8295645,26.2083,7.825,7.5775,185.833,1.85833,0.28625,2181.82,9118.18,yes
Howrah Ghat,2023-04-25,9.358285,76.728298,29.25,6.275,6.9,94.5,1.275,0.985,750,1325.0,yes
Howrah Ghat,2023-04-26,23.4258568,87.2854565,27.0454545,8.01818182,7.13909091,150.636364,3.51363636,0.14463636,800,2443.0,yes
Howrah Ghat,2023-04-27,22.5638,88.366257,25.0,6.8,6.8,755,0.08,,23,0.31,yes
Howrah Ghat,2023-04-28,15.196983,73.970147,27.0,6.11666667,6.52833333,201.1425,1.99166667,0.425,8.9,148.545455,yes
Howrah Ghat,2023-04-29,12.259676,77.17118,26.6666667,6.95833333,8.125,330.583333,1.25,0.39,1600,1600.0,no
Howrah Ghat,2023-04-30,17.660047,75.904116,25.0,7.8,7.8,2905,0.27,11,350,1.8,yes
Howrah Ghat,2023-05-01,32.553363,76.125808,11.0,10.0,8.0,190,0.5,0.6,9,169.0,yes
Howrah Ghat,2023-05-02,15.742033,73.88307,25.75,7.3,6.11,87.45,0.925,0.325,5.75,168.75,no
Howrah Ghat,2023-05-03,25.9246602,75.456048,22.1,5.85,8.257,290,1.87,0.186,4.2,18.6,no
Howrah Ghat,2023-05-04,22.9901287,88.3943282,27.7727,8.24091,7.93273,289.155,1.66364,0.25547,3063.64,4754.55,yes
Howrah Ghat,2023-05-05,,,9.0,8.9,8.9,244,6.59,,,0.24,no
Howrah Ghat,2023-05-06,18.340113,74.683689,26.3333333,2.66444444,7.67916667,452.175,14.1083333,0.84333333,291.666667,1750.0,yes
Howrah Ghat,2023-05-07,25.8674343,86.9423801,26.6667,6.83333,7.6,374.5,2.66667,1.38,1600,2966.67,yes
Howrah Ghat,2023-05-08,28.838648,78.773329,26.9,7.5,7.5,244,0.0,,325,,yes
Howrah Ghat,2023-05-09,13.15,77.49,25.5,9.885,9.575,545,2.5,5.755,8.5,17.5,no
Howrah Ghat,2023-05-10,20.411442,72.833454,27.0,4.2,8.2,2754,42.0,,,,no
Howrah Ghat,2023-05-11,25.374756,86.473525,24.8333,7.82222,7.95556,345.333,2.71111,1.71167,2177.78,4966.67,yes
Howrah Ghat,2023-05-12,25.317645,82.973914,27.0,7.0,7.0,308,5.88,,,,yes
Howrah Ghat,2023-05-13,9.981636,76.299884,26.5,6.6,6.6,243,7.55,285,1155,0.12,yes
Howrah Ghat,2023-05-14,30.284414,78.981141,16.6333,9.63333,8.00833,144.667,,0.08333,2500,9300.0,no
Howrah Ghat,2023-05-15,26.6528495,92.7925592,24.75,6.85,7.85,189,2.35,0.1225,100,966.6667,yes
Howrah Ghat,2023-05-16,20.2960587,85.8245398,29.8181818,6.43636364,7.59363636,261.3,3.4,2.392608,8536.36364,13327.2727,yes
Howrah Ghat,2023-05-17,30.8919211,77.2103359,20.7273,8.6,7.87636,509,1.18182,0.37673,6.2,12.9091,yes
Howrah Ghat,2023-05-18,28.3049982,81.1533868,23.1,5.65,7.665,884,6.5,2.80133,161.833,683.333,yes
Howrah Ghat,2023-05-19,25.9132489,93.7511268,25.25,1.05,7.3725,287,3.4,,,,yes
Howrah Ghat,2023-05-20,23.2392,87.8513,28.0,6.6,6.6,459,0.46,,,0.3,yes
Howrah Ghat,2023-05-21,23.1635108,77.4099383,,,7.6,902,37.7333,4.26467,805.5,1183.33,yes
Howrah Ghat,2023-05-22,,,15.0,7.3,7.3,680,1.34,4,9,,yes
Howrah Ghat,2023-05-23,23.673945,86.952395,29.75,7.9,7.9,730,10.17,13,23,0.51,yes
Howrah Ghat,2023-05-24,15.4785694,78.4830934,27.0,7.8,7.8,2391,4.0,9,19,0.55,yes
Howrah Ghat,2023-05-25,20.296059,85.82454,28.5,6.3,6.3,272,2.69,2,2,0.2,no
Howrah Ghat,2023-05-26,17.2478932,81.6432353,26.2166667,6.7,7.7525,243.916667,1.0,1.20325,3,329.666667,yes
Howrah Ghat,2023-05-27,24.803241,84.999707,23.0,8.2,8.2,1015,,,25,0.8,no
Howrah Ghat,2023-05-28,22.260423,84.853584,26.0833333,6.54166667,7.47666667,240.491667,3.9,2.34878063,5406.66667,12583.3333,yes
Howrah Ghat,2023-05-29,30.970214,77.105367,25.65,7.575,7.94333,373.917,3.63333,1.65083,2491.67,4166.67,yes
Howrah Ghat,2023-05-30,27.5839037,80.6663559,25.0,8.5,7.942,354.87,3.08,1.47,444,1560.0,yes
Howrah Ghat,2023-05-31,24.5477529,93.8330899,22.0,4.93333333,7.19,355.733333,1.56666667,,,70.0,yes
Howrah Ghat,2023-06-01,18.817902,73.27484,26.9166667,6.575,7.375,129.748333,5.0,0.73968333,66.6666667,157.5,yes
Howrah Ghat,2023-06-02,19.8046625,85.8188867,28.25,11.3833333,7.81416667,433.141667,11.7416667,1.97684454,18332.5,36200.0,yes
Howrah Ghat,2023-06-03,11.0598753,78.1421904,25.8333333,6.8,7.805,500.416667,1.2875,0.15833333,176.666667,368.333333,yes
Howrah Ghat,2023-06-04,19.197257,73.093823,26.0,2.261,7.57545455,528.581818,13.3818182,0.79545455,315.909091,1763.63636,yes
Howrah Ghat,2023-06-05,23.5251102,77.8081363,,7.45,7.87,646,2.0,0.925,4,49.5,yes
Howrah Ghat,2023-06-06,22.782275,86.146974,20.6363636,5.35909091,8.10272727,895,6.86363636,2.14181818,91.3636364,283.636364,no
Howrah Ghat,2023-06-07,25.3961861,85.917677,24.5625,7.875,7.9625,374.875,2.9875,1.71167,7637.5,22000.0,yes
Howrah Ghat,2023-06-08,18.7595503,79.4816378,24.9166667,7.93333333,8.13333333,513.7,3.15833333,0.27416667,42.6,1600.0,no
Howrah Ghat,2023-06-09,18.753949,74.247278,29.0,7.6,7.6,2146,5.99,3,85,1.21,yes
Howrah Ghat,2023-06-10,22.3189132,73.2135032,26.1545,5.47955,8.21818,534.545,1.69191,0.57273,4.18182,13.2727,no
Howrah Ghat,2023-06-11,25.4358011,81.846311,21.8714,7.4,7.47714,432.5,2.6,1.389,3195.14,13415.7,yes
Howrah Ghat,2023-06-12,25.4970336,92.1730562,21.375,7.54166667,6.95833333,75.8333333,1.53333333,0.48666667,39.5,63.75,yes
Howrah Ghat,2023-06-13,,,20.5,6.7,6.7,627,0.05,4,27,0.23,yes
Howrah Ghat,2023-06-14,25.9132489,93.7511268,23.0,4.0,7.76,199,1.8,,,,yes
Howrah Ghat,2023-06-15,,,20.0,7.0,7.0,888,1.02,7,10,0.21,yes
Howrah Ghat,2023-06-16,28.728485,77.786614,25.8,7.7,7.7,558,,,16,0.9,yes
Howrah Ghat,2023-06-17,20.8733543,86.0236363,26.0,7.75,7.93,176.454545,2.01666667,0.972382,3536.66667,6791.66667,yes
Howrah Ghat,2023-06-18,21.812876,80.183829,21.525,7.775,7.55727273,504.916667,1.71666667,0.98366667,,80.6363636,yes
Howrah Ghat,2023-06-19,31.886598,76.018882,13.0,9.0,8.0,155,0.4,0.5,6,58.0,yes
Howrah Ghat,2023-06-20,9.6031088,77.161458,25.625,6.875,7.375,42.25,0.45,0.15,900,1400.0,yes
Howrah Ghat,2023-06-21,23.88148,87.370527,65.0,9.3,9.3,571,0.68,,,14.0,no
Howrah Ghat,2023-06-22,24.7954523,84.9994309,23.3333333,6.73333333,7.41333333,859.333333,3.06666667,,1833.33333,6933.33333,yes
Howrah Ghat,2023-06-23,20.9632408,81.8907183,28.7083333,7.73333333,7.72,371.833333,,1.4,,157.583333,yes
Howrah Ghat,2023-06-24,11.267459,75.942523,25.0,7.1,7.1,124,1.58,3,32,0.06,yes
Howrah Ghat,2023-06-25,20.745319,78.602195,,8.5,8.5,723,10.66,,,0.49,no
Howrah Ghat,2023-06-26,,,26.3333333,6.5,8.12333333,666.666667,1.43333333,1.3,3600,11333.3333,no
Howrah Ghat,2023-06-27,21.125749,73.1121167,29.0,6.085,7.85,351.5,2.39,0.225,2350,13150.0,yes
Howrah Ghat,2023-06-28,15.941378,77.425732,27.1,6.41,7.666,776.6,2.51,4.04,133,1105.0,yes
Howrah Ghat,2023-06-29,23.232421,87.861479,31.25,7.5,7.5,957,0.29,,,0.4,yes
Howrah Ghat,2023-06-30,9.001898,76.533474,27.9,7.2,7.2,789,2.25,140,450,,yes
Howrah Ghat,2023-07-01,13.843781,75.70003,25.9166667,6.875,7.2125,336.666667,3.76666667,1.9375,218.333333,841.666667,yes
Howrah Ghat,2023-07-02,16.691307,74.244865,24.8333333,5.76666667,7.54166667,338.991667,8.45833333,1.722636364,7.25,220.833333,yes
Howrah Ghat,2023-07-03,11.3181162,77.0132642,26.25,7.975,8.02083333,193.166667,0.91916667,0.18491667,101.666667,219.166667,no
Howrah Ghat,2023-07-04,18.8456296,81.3839325,25.75,7.7,7.7,,1.225,,,10.0,yes
Howrah Ghat,2023-07-05,11.073182,76.074,28.5,6.1,6.1,290,2.65,254,365,,no
Howrah Ghat,2023-07-06,22.2592158,84.9056114,24.3083333,7.825,7.13333333,,1.63636364,,150,750.0,yes
Howrah Ghat,2023-07-07,9.803845,76.455586,26.4583333,7.04166667,6.95833333,55.5,1.10833333,0.43,767.5,1725.0,yes
Howrah Ghat,2023-07-08,8.871676,76.801424,26.475,6.05,7.1,699,0.8,0.6625,500,1150.0,yes
Howrah Ghat,2023-07-09,9.682108,76.607993,26.15,6.8,6.625,48,0.5,0.435,1225,2025.0,yes
Howrah Ghat,2023-07-10,,,23.0,8.6,8.6,823,1.13,5,50,,no
Howrah Ghat,2023-07-11,21.8974003,83.3949632,27.25,7.175,7.60833333,277.5,2.1,1.26033333,,275.833333,yes
Howrah Ghat,2023-07-12,10.06975,76.30293,26.1,6.3,6.3,174,2.4,236,779,0.06,no
Howrah Ghat,2023-07-13,31.17,75.2,16.0,7.0,8.0,304,1.0,1.5,130,550.0,yes
Howrah Ghat,2023-07-14,20.411442,72.833454,27.0,4.2,7.85,4908.5,18.0,7,,,yes
Howrah Ghat,2023-07-15,23.8343591,91.2835176,28.8,6.644,7.828,232,2.836,0.882,277.866,458.0,yes
Howrah Ghat,2023-07-16,20.7131519,76.2980127,21.9,5.224,7.751,994.9,6.55,3.2473,115.6,346.0,yes
Howrah Ghat,2023-07-17,30.957826,76.791356,24.5,7.9,7.9,500,0.98,,10,0.15,yes
Howrah Ghat,2023-07-18,16.960596,81.735225,27.75,5.08333333,8.3525,687.25,2.925,1.06666667,24.4166667,340.833333,no
Howrah Ghat,2023-07-19,18.8456296,81.3839325,25.75,7.7,7.6125,,1.15,,,7.0,yes
Howrah Ghat,2023-07-20,,,24.0,7.6,7.6,540,0.64,6,10,0.06,yes
Howrah Ghat,2023-07-21,26.1833004,91.7370002,26.75,6.975,7.191667,194,2.333333,0.1275,153.6364,2224.545,yes
Howrah Ghat,2023-07-22,23.5024937,77.134135,22.6333,7.16667,7.63833,474.333,3.4,1.92183,74.6667,421.667,yes
Howrah Ghat,2023-07-23,25.9857298,85.042994,24.0,7.0,8.71,343,2.5,1.38,500,1100.0,no
Howrah Ghat,2023-07-24,15.499056,73.932308,28.5,6.3,6.3,50,0.56,,65,,no
Howrah Ghat,2023-07-25,25.7795649,84.7498885,21.1429,8.77143,7.77143,296.857,2.62857,,1228.57,2542.86,yes
Howrah Ghat,2023-07-26,26.4278342,88.1266983,24.9545,2.71818,7.65364,11409.2,4.17889,0.63818,42727.3,73181.8,yes
Howrah Ghat,2023-07-27,20.2440145,85.2678816,27.5,6.93636364,7.89333333,642.833333,5.65,1.48427542,11038.3333,19868.3333,yes
Howrah Ghat,2023-07-28,23.7255788,85.8360659,34.3333,7.81429,7.42857,,0.8,,,,yes
Howrah Ghat,2023-07-29,27.1364448,88.3931153,,20.16667,6.333333,293,3.908333,2.7,123.3333,250.8333,no
Howrah Ghat,2023-07-30,26.850311,75.784749,28.0,7.7,7.7,1205,0.28,3,4,0.29,yes
Howrah Ghat,2023-07-31,13.034421,80.148091,23.625,6.15,8.254,475,2.7,0.167,1524,3650.0,no
Howrah Ghat,2023-08-01,28.208822,76.8446,26.3,8.5,8.5,1685,4.37,3,4,1.05,no
Howrah Ghat,2023-08-02,9.55727,76.789435,28.75,6.5,7.45,76.25,0.775,0.075,275,585.0,yes
Howrah Ghat,2023-08-03,31.79903,78.64342,6.0,9.0,8.0,208,0.0,0,85,1020.0,yes
Howrah Ghat,2023-08-04,28.208822,76.8446,29.5,7.7,7.7,1495,9.52,4,12,0.46,yes
Howrah Ghat,2023-08-05,22.671305,88.392954,26.0,8.0,8.0,5145,0.13,7,33,0.62,yes
Howrah Ghat,2023-08-06,22.645211,88.335526,25.9545,8.52727,7.75455,289.609,2.11818,0.33764,13572.7,21972.7,yes
Howrah Ghat,2023-08-07,24.7991451,93.954369,24.0,3.95,7.465,191.45,1.15,,,157.5,yes
Howrah Ghat,2023-08-08,16.206863,77.3707,30.75,9.125,8.08583333,794.9,3.24166667,0.42666667,12,947.5,no
Howrah Ghat,2023-08-09,24.6216104,76.1915487,25.4727,5.38182,7.90273,420.909,1.292,0.66545,5.18182,14.3636,yes
Howrah Ghat,2023-08-10,26.220405,26.220405,26.5,8.3,8.3,2820,0.76,4,11,1.31,no
Howrah Ghat,2023-08-11,25.6816594,76.4758974,26.4727,5.76436,8.37727,470.909,1.50364,0.52,6.09091,49.2727,no
Howrah Ghat,2023-08-12,24.7886976,93.8286388,23.5,6.25,7.15,110.7,3.05,,,12.5,yes
Howrah Ghat,2023-08-13,13.2063077,80.0687731,,6.15454545,7.93,484.272727,1.90909091,0.25454545,2068.18182,5421.81818,yes
Howrah Ghat,2023-08-14,31.633979,74.872264,18.0,5.0,7.0,494,3.0,2.7,403,950.0,yes
