Area,Timestamp,Lat,Lon,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class,chemical_score,biological_score,physical_score,source_score,WQS,Water_Class
Bally Bridge,2023-08-17,22.4196972,87.3085505,27.5909,8.25455,7.63455,201.5,2.65,0.16727,44272.7,311455.0,yes,94.31785066666669,5.9239405439264045e-18,86.513625,74,62.42986526666667,Moderate
Howrah Ghat,2023-10-06,18.4385553,79.1288412,24.75,7.68333333,8.0875,564.6,4.825,0.8025,265.4,1600.0,no,87.27866666666667,76.68991289641586,80.26041665,80,81.97052386559143,Safe
Babughat,2023-07-26,19.314356,73.179349,28.4142857,5.9125,7.5775,461.625,4.85,2.468575,23.4,62.6,yes,86.94222333333333,97.68716569503434,75.23125,75,86.62928904184363,Safe
Howrah Ghat,2023-04-22,23.3341696,75.0376324,28.6666667,7.05,7.55083333,311.583333,1.98888889,0.72033333,193767.1311595211,576037.4703817832,yes,93.65604815266668,7.046998242674918e-83,81.118750025,80,61.68616926606667,Moderate
Babughat,2023-06-14,21.24850768681818,78.72098095669318,25.5,7.4,7.4,358.0,1.23,3.0,65.0,576037.4703817832,yes,92.38,93.70674633774034,84.0,75,89.3640239013221,Safe
Bally Bridge,2023-08-04,28.789221,78.082308,19.5909,8.21667,7.41667,221.417,3.425,0.5025,1161.67,2496.67,yes,92.81716333333333,31.29630958580961,87.958325,74,71.50742320907622,Moderate
Dakshineswar,2023-06-05,10.901053,78.489401,27.8333333,7.575,7.83083333,670.0,0.8825,0.22683333,150.833333,305.0,yes,91.94186666933334,85.99910188386384,81.643750025,78,86.70522723789249,Safe
Bally Bridge,2023-06-09,31.36384,75.137025,17.0,7.0,7.0,320.0,0.65,1.8,185.0,725.0,yes,94.49333333333334,83.11042838521257,85.0,74,87.13046184889711,Safe
Bally Bridge,2023-06-13,21.24850768681818,78.72098095669318,18.0,6.5,6.5,84.0,4.0,20.0,26.0,0.03,yes,77.82666666666667,97.43350896087492,78.75,74,83.51071935492915,Safe
Howrah Ghat,2023-10-18,12.9311652,77.5723302,28.3333333,6.67,7.46666667,571.0,2.5,1.375,19.0,38.6666667,yes,89.85666666666667,98.1179362242806,79.849999975,80,89.34804752895084,Safe
Howrah Ghat,2023-10-26,28.2088218,76.8445999,28.5,7.7,7.7,1810.0,0.14,4.0,9.0,0.92,yes,78.51333333333334,99.10403787728836,83.25,80,85.78654469651984,Safe
Bally Bridge,2023-03-03,12.0071037,76.3897733,24.75,6.825,8.075,146.0,1.0,0.171,1600.0,1600.0,no,97.06986666666668,20.18965179946554,76.0625,74,67.49734220650633,Moderate
Dakshineswar,2023-10-13,30.031773,78.209476,21.9167,7.825,7.71917,305.083,4.46667,0.08333,800.0,4466.67,yes,90.926946,44.93289641172215,83.731225,78,74.39689232351664,Moderate
Dakshineswar,2023-09-24,21.0971034,81.0302222,22.8333333,7.54166667,7.53333333,319.833333,1.52222222,0.48866667,270.0,657.5,yes,94.38110370733334,76.33794943368531,83.70833337500001,78,85.19549298803892,Safe
Babughat,2023-04-02,20.356843,72.928985,27.5555556,7.06666667,7.25333333,212.222222,1.39444444,0.838,3.33333333,6.44444444,yes,95.34811852666668,99.66722160578456,83.433333375,75,92.22608056740204,Safe
Dakshineswar,2023-05-06,23.164543,87.062426,28.0455,5.6,7.52455,523.0,4.20182,0.96755,15940.0,44700.0,yes,88.39353333333334,1.194939612887768e-05,74.065875,78,57.97059191815218,Moderate
Babughat,2023-07-08,10.9548837,78.443932,28.3333333,7.99166667,8.06083333,598.25,0.93083333,0.18316667,144.166667,303.333333,no,92.62985555733331,86.5743445171498,82.002083375,75,86.92466225307827,Safe
Bally Bridge,2023-05-20,13.1857721,79.8576828,24.88953091982379,6.00833333,8.17166667,561.916667,2.16666667,0.15166667,2085.83333,3974.16667,no,91.37061110066666,12.4203574463194,71.254166625,74,61.92518499916248,Moderate
Babughat,2023-08-29,12.546222,77.419875,27.0,3.65,7.7,1000.0,2.125,21.335,30.0,70.0,yes,70.09866666666667,97.04455335485082,63.0,75,77.25283267312192,Safe
Babughat,2023-03-09,14.907027,78.00927,26.6666667,6.58333333,7.97166667,735.666667,3.25,0.65,114.166667,1001.66667,yes,87.78999999666667,89.2109258317508,75.62916662500001,75,84.50511107319191,Safe
Bally Bridge,2023-03-06,18.687818,73.845935,26.5,3.9725,7.63416667,464.066667,8.85833333,0.53,262.916667,1604.16667,yes,83.12422222333333,76.88059615489844,65.106249975,74,76.73511773080287,Safe
Bally Bridge,2023-02-06,22.946557,79.194353,24.0,8.0,7.6,592.5,1.4,1.3,193767.1311595211,38.3,yes,91.16833333333334,7.046998242674918e-83,85.5,74,60.96733333333334,Moderate
Howrah Ghat,2023-03-20,21.5601714,81.8743365,28.8571429,6.9375,7.875,235.875,1.6,1.7295,193767.1311595211,15.75,yes,94.12431666666669,7.046998242674918e-83,78.125,80,61.27472666666667,Moderate
Babughat,2023-09-23,19.0159601,72.8517555,26.0833333,5.20909091,7.33083333,467.0,8.78333333,2.62591667,36.6666667,151.666667,yes,81.51815555733333,96.3997414238882,73.56420457499999,75,83.7400255650998,Safe
Babughat,2023-04-07,27.051416,79.913673,25.5833,7.85833,7.96417,326.838,4.54167,2.24642,3041.67,10075.0,yes,88.878924,4.775507189498866,82.060375,75,60.89629675684967,Moderate
Dakshineswar,2023-10-30,18.8755953,79.4591378,25.0833333,8.11666667,8.15916667,480.7,2.275,0.2625,89.2,1380.0,no,91.94966666666669,91.46626227554287,81.889583325,78,88.39766201432954,Safe
Babughat,2023-02-09,21.24850768681818,78.72098095669318,23.5,7.1,7.1,868.0,0.03,8.0,12.0,0.045,yes,84.88,98.80717128619304,84.75,75,88.04415138585792,Safe
Dakshineswar,2023-02-17,27.1364448,88.3931153,24.88953091982379,18.58333,6.241667,288.0,4.333333,2.8,100.8333,404.1667,no,89.10222266666666,90.4083731082792,100.0,78,90.56340099915042,Safe
Bally Bridge,2023-02-14,26.2884203,84.2526559,27.875,8.325,7.90333,270.583,2.11667,0.29092,1036.36,13145.5,yes,94.23920733333333,35.47436014113752,84.85002499999999,74,72.70799597567459,Moderate
Howrah Ghat,2023-01-08,21.0076578,75.5626039,31.125,6.4625,7.6375,561.125,3.675,2.279375,35.0,95.8333333,yes,87.66525,96.56054162575664,77.53125,80,87.540512487727,Safe
Babughat,2023-10-02,29.9613554,76.8285533,21.0,6.85,7.85,260.0,2.285,0.36,193767.1311595211,576037.4703817832,yes,94.06533333333331,7.046998242674918e-83,77.875,75,60.70113333333334,Moderate
Howrah Ghat,2023-08-14,31.633979,74.872264,18.0,5.0,7.0,494.0,3.0,2.7,403.0,950.0,yes,88.9,66.83120993235603,75.0,80,78.60936297970682,Safe
Dakshineswar,2023-07-02,26.4627955,86.1751759,25.0,6.8,7.8,212.0,2.9,1.38,1700.0,5000.0,yes,92.90933333333334,18.26835240527346,78.0,78,66.04423905491538,Moderate
Babughat,2023-11-02,12.725176,77.69558,26.8333333,6.91666667,8.46666667,243.333333,1.0,0.33333333,1600.0,1600.0,no,95.96666667266666,20.18965179946554,73.583333325,75,66.66022887390632,Moderate
Howrah Ghat,2023-05-25,20.296059,85.82454,28.5,6.3,6.3,272.0,2.69,2.0,2.0,0.2,no,92.09333333333332,99.80019986673332,76.25,80,90.02739329335333,Safe
Howrah Ghat,2023-10-10,22.8011177,73.5594128,27.0,6.95,8.5,668.0,5.0,0.174,4.0,17.0,no,86.51413333333333,99.60079893439917,73.5,80,87.18589301365309,Safe
Babughat,2023-09-20,21.233473,78.911851,23.0,8.3,8.3,1202.0,2.24,20.0,55.0,0.99,no,68.99333333333334,94.64851479534838,81.75,75,79.84188777193785,Safe
Babughat,2023-06-27,21.24850768681818,78.72098095669318,20.0,8.0,8.0,510.0,4.63,25.0,69.0,0.28,yes,68.72666666666666,93.3326680078202,82.5,75,79.49046706901272,Safe
Babughat,2023-04-25,28.627949,77.27862,26.4166667,2.905,7.62083333,416.825,16.3166667,0.8225,312.5,1733.33333,yes,73.4181944,73.16156289466417,59.868750025,75,70.78949663339925,Moderate
Babughat,2023-09-06,10.7904833,78.7046725,27.6363636,7.62727273,8.15272727,576.454545,0.83090909,0.19581818,143.636364,287.272727,no,92.97092121933332,86.62026732719603,79.490909125,75,86.57263051089214,Safe
Dakshineswar,2023-02-05,21.5305898,83.8704949,27.1666667,7.60833333,7.925,189.15,1.36666667,0.91862667,1015.0,1936.66667,yes,95.55137643733332,36.24024298324903,81.10416665,78,73.11345679990804,Moderate
Bally Bridge,2023-02-07,22.8389212,86.2222019,26.2272727,7.39090909,7.49090909,187.2,0.62727273,5.42090909,193767.1311595211,576037.4703817832,yes,92.954909088,7.046998242674918e-83,83.272727275,74,61.23650909019999,Moderate
Babughat,2023-05-04,8.4827779,76.9435906,27.7916667,7.45833333,7.60833333,243.666667,3.29166667,0.133333333,502.5,1525.0,yes,93.06777777026667,60.50162268931432,82.729166675,75,79.42343124990096,Safe
Bally Bridge,2023-03-01,21.0076578,75.5626039,31.9777778,5.83333333,7.79888889,444.777778,4.82222222,2.11987778,18.6666667,51.6666667,yes,87.42669036933333,98.1506476513525,73.174999975,74,86.45087043813909,Safe
Howrah Ghat,2023-01-03,27.4149096,95.9991228,22.0,7.1,7.025,182.0,1.775,0.13,90.0,500.5,yes,95.70933333333332,91.39311852712282,85.3125,80,90.76416889147018,Safe
Bally Bridge,2023-09-26,26.1833004,91.7370002,25.275,6.975,7.5,156.0,1.725,0.1225,220.0,740.0,yes,96.042,80.25187979624785,81.125,74,86.11736393887436,Safe
Dakshineswar,2023-03-19,27.4728327,94.911962,22.5,4.675,6.8,57.0,1.725,0.1275,193767.1311595211,560.0,yes,97.028,7.046998242674918e-83,71.875,78,60.98620000000001,Moderate
Bally Bridge,2023-09-08,21.8554375,84.006166,27.3333333,7.325,7.78916667,146.316667,1.53333333,0.34309154,2366.66667,4088.33333,yes,96.217915658,9.37928483012334,80.70624997499999,74,64.84220170723701,Moderate
Dakshineswar,2023-07-06,27.9187665,95.7642171,22.0,7.375,7.45,144.0,1.25,0.1425,193767.1311595211,452.5,yes,96.77933333333334,7.046998242674918e-83,83.5,78,63.21173333333334,Moderate
Howrah Ghat,2023-08-17,26.847017,75.817606,26.5455,5.37182,7.99,349.091,2.01364,0.36545,3.54545,27.8182,yes,93.53187666666666,99.64608276865852,69.4341,80,89.19339549726422,Safe
Dakshineswar,2023-04-06,30.6101649,77.4583652,23.0454545,7.56363636,7.77363636,514.090909,1.58181818,0.4585,13.5454545,25.5454545,yes,92.38320000333331,98.65458723492056,82.01590909999999,78,90.7528379918095,Safe
Bally Bridge,2023-08-31,31.6339811,76.8335346,20.4181818,1.83636364,7.78727273,228.272727,5.58181818,0.984,1487.27273,2400.0,yes,89.48764849,22.59881465452877,53.277272725,74,60.63015833735863,Moderate
Dakshineswar,2023-06-16,18.939821,72.835468,20.4166667,5.8775,8.10916667,564.666667,4.9875,1.431,34.25,110.0,no,86.55853333,96.632989196419,71.068749975,78,85.62706008592569,Safe
Bally Bridge,2023-06-08,31.412255,76.852727,14.0,10.0,8.0,225.0,0.2,0.6,159.0,1586.0,yes,97.00333333333332,85.29963589691314,92.5,74,90.29122410240728,Safe
Babughat,2023-11-07,18.953437,72.841544,20.1666667,5.96666667,7.965,696.666667,6.0,2.19616667,64.1666667,138.583333,yes,83.276399994,93.78486783600027,72.59583335,75,83.46518701840009,Safe
Dakshineswar,2023-04-16,47.351943,19.633621,14.0,9.0,8.0,96.0,0.2,0.5,62.0,606.0,yes,98.37333333333332,93.98828867910888,87.5,78,92.845819937066,Safe
Babughat,2023-10-01,26.5393449,80.4878195,23.75,8.82727,7.94667,399.225,2.70833,1.7,1092.5,2708.33,yes,91.03664333333332,33.53770022739925,87.036325,75,71.3832324015531,Moderate
Bally Bridge,2023-09-16,30.8919211,77.2103359,21.4818,8.14545,8.14182,174.155,0.76364,0.49082,30.75,62.6,no,96.84760733333331,96.97179722679314,82.1636,74,91.66330210137129,Safe
Bally Bridge,2023-11-09,32.026795,77.351106,11.0,9.0,8.0,101.0,0.2,0.4,53.0,553.0,yes,98.40333333333334,94.83800124822982,87.5,74,92.71273370780229,Safe
Bally Bridge,2023-10-19,22.7642,88.29112,26.3182,8.3,7.76364,293.545,2.15455,0.38727,105364.0,140545.0,yes,93.88200066666668,1.7417916680318332e-44,85.7727,74,62.10734026666668,Moderate
Babughat,2023-03-31,18.560074,74.373309,26.7,3.867,7.811,644.27,8.51,0.412,253.5,1610.0,yes,81.88103333333333,77.60797449251368,63.2525,75,76.18530568108744,Safe
Dakshineswar,2023-10-25,14.325817,75.771825,28.8333333,7.23333333,8.00583333,470.0,2.60833333,0.44225,3320.0,6585.0,no,91.46842222666666,3.615283175404641,78.622916675,78,61.19653717828805,Moderate
Howrah Ghat,2023-10-28,23.4601232,75.4119263,28.4444,6.62,7.679,415.9,2.525,1.2289,193767.1311595211,576037.4703817832,yes,91.49121333333332,7.046998242674918e-83,78.0075,80,60.19798533333334,Moderate
Howrah Ghat,2023-04-20,9.447611,76.405341,28.25,6.725,6.625,63.75,0.875,1.35,427.5,837.5,yes,97.11583333333331,65.21374019961392,80.8125,80,82.57295539321751,Safe
Howrah Ghat,2023-08-03,31.79903,78.64342,6.0,9.0,8.0,208.0,0.0,0.0,85.0,1020.0,yes,97.92,91.85122844014572,87.5,80,92.22336853204372,Safe
Bally Bridge,2023-07-20,17.682216,75.322264,30.8,5.04,8.09,1336.15,6.34,0.712,211.5,1520.0,no,77.61556666666667,80.93692810527259,67.025,74,76.13230509824845,Safe
Bally Bridge,2023-01-29,19.391928,72.839732,26.0,7.6,7.6,1044.0,0.26,22.0,60.0,0.42,yes,71.61333333333333,94.17645335842488,83.5,74,80.9982693408608,Safe
Dakshineswar,2023-03-18,11.3749976,77.7509302,26.6666667,6.74166667,7.89583333,424.75,1.24833333,0.20025,306.666667,542.5,yes,93.92785556,73.5895858402943,76.989583375,78,82.84593465108829,Safe
Babughat,2023-08-19,18.629781,73.79970900000001,27.0,7.7,7.7,865.0,1.52,13.0,260.0,1.24,yes,78.92333333333333,77.10515858035663,83.25,75,78.85088090744033,Safe
Babughat,2023-07-09,27.1766701,78.0080745,25.9545,4.27,7.80909,1069.64,7.0,1.38,284900.0,694300.0,yes,78.86626666666666,1.8599535815571508e-122,65.281825,75,52.10287166666667,Polluted
Howrah Ghat,2023-07-10,21.24850768681818,78.72098095669318,23.0,8.6,8.6,823.0,1.13,5.0,50.0,576037.4703817832,no,86.26333333333334,95.1229424500714,81.0,80,87.24221606835475,Safe
Dakshineswar,2023-05-05,24.8332708,92.7789053,12.575,7.1,7.175,145.0,2.775,0.1425,220.0,1373.333,yes,94.736,80.25187979624785,84.1875,78,86.60746393887436,Safe
Dakshineswar,2023-05-21,19.518231,72.850182,26.1833333,6.65,7.80166667,204.481667,2.53333333,0.7728,2.33333333,68.3333333,yes,93.95916555666666,99.76693867761652,77.23749997499999,78,90.7612478209516,Safe
Babughat,2023-06-28,24.6518946,92.606739,12.75,7.2,7.225,139.0,2.6,0.1125,423.3333,1100.0,yes,95.05333333333331,65.48603317853271,84.3125,75,82.02964328689315,Safe
Dakshineswar,2023-06-21,19.162412,73.256884,25.9166667,6.975,7.84166667,122.564167,3.425,0.44476667,41.5833333,99.8333333,yes,93.85187832733334,95.92693929264844,78.562499975,78,89.83133311372787,Safe
Dakshineswar,2023-09-30,28.993082,77.015073,24.45,6.91,7.9,438.2,2.3,1.38,69933.3,266611.0,yes,91.44733333333332,4.2496553384623587e-29,77.80000000000001,78,59.93893333333334,Moderate
Dakshineswar,2023-01-31,19.113352,72.931552,23.6666667,6.475,8.02666667,573.2,3.175,0.9765,4.0,120.833333,no,89.25346666666667,99.60079893439917,74.674999975,78,88.3166263419864,Safe
Dakshineswar,2023-07-21,13.942976,75.581689,24.9166667,7.21083333,7.65,250.833333,2.1,1.013636364,47.0,218.333333,yes,93.8807575788,95.4087397590371,81.17916665,78,90.21075828923114,Safe
Babughat,2023-11-10,26.4862373,83.7838213,23.8333,7.66667,8.16417,421.333,2.75833,0.43833,117.5,295.0,no,91.75823266666669,88.9140511746448,79.60207499999999,75,86.79792341906011,Safe
Babughat,2023-08-06,27.2063587,94.1513764,22.25,8.5,7.1,128.0,2.825,0.1,75.0,272.75,yes,94.87333333333332,92.77434863285528,91.75,75,91.63163792318991,Safe
Dakshineswar,2023-03-05,28.5902107,77.2499367,23.7273,0.81818,7.77273,1153.91,15.4545,1.38,42000000.0,250000000.0,yes,66.7509,0.0,48.29542499999999,78,44.15944500000001,Polluted
Howrah Ghat,2023-09-02,16.497706,75.137025,29.0,5.31090909,8.03909091,779.090909,1.20954545,6.92454545,322.272727,563.636364,no,85.05672728333333,72.45005725156305,68.761363625,80,77.50998081380224,Safe
Bally Bridge,2023-03-20,18.9890893,75.7600784,26.1666667,6.60833333,7.93333333,861.0,4.375,2.422458333,3.58333333,113.083333,yes,83.61870000026667,99.64230791472424,76.041666675,74,85.94850570952396,Safe
Babughat,2023-05-15,23.164543,87.062426,27.7273,5.66364,7.46909,465.182,5.26273,1.35218,80400.0,241400.0,yes,87.24946266666666,1.2098280653880189e-33,74.800025,75,57.35979006666667,Moderate
Babughat,2023-06-06,30.445283,77.602056,22.0,8.37,7.903,331.1,1.2,0.3593,9.4,16.6,yes,94.80156,99.06440418940348,85.07750000000001,75,92.15544525682104,Safe
Bally Bridge,2023-07-21,26.8908123,88.1824884,16.2727273,7.84545455,6.84818182,112.325,3.98636364,0.27818182,45654.5455,119536.364,yes,93.339053024,1.4875885110300921e-18,88.08863640000001,74,62.3533484896,Moderate
Howrah Ghat,2023-05-04,22.9901287,88.3943282,27.7727,8.24091,7.93273,289.155,1.66364,0.25547,3063.64,4754.55,yes,94.68588733333334,4.67173342544462,84.209075,80,64.11768996096673,Moderate
Bally Bridge,2023-11-18,18.651867,73.906992,26.6666667,4.69333333,7.6275,456.233333,6.98333333,0.43166667,201.25,1497.91667,yes,85.78122222733333,81.77079790036046,68.76041665,74,79.99581159104147,Safe
Howrah Ghat,2023-09-14,17.0005383,81.8040344,26.3666667,6.20833333,7.40583333,268.333333,1.2,1.9625,3.33333333,984.083333,yes,94.14666667,99.66722160578456,77.997916675,80,91.15841648473535,Safe
Dakshineswar,2023-06-30,32.052833,76.634051,19.0,8.0,8.0,99.0,0.5,0.5,11.0,100.0,yes,97.94333333333331,98.90602787753689,82.5,78,93.1491416965944,Safe
Bally Bridge,2023-07-07,20.2960587,85.8245398,29.0833333,8.84166667,7.895,190.966667,1.81666667,0.28752575,477.5,931.666667,yes,95.43809050333331,62.03322855961783,87.49583335,74,81.6843714392187,Safe
Howrah Ghat,2023-04-03,19.8761653,75.3433139,28.3636364,6.30909091,8.1,969.954545,4.76363636,1.35024545,2.63636364,85.4545455,no,82.86874304333332,99.73671085146634,73.29545455,80,85.72760138277323,Safe
Babughat,2023-03-30,26.539345,80.48782,24.88953091982379,7.4,7.4,1018.0,12.6,2.0,2.0,2.1,yes,71.42,99.80019986673332,84.0,75,82.80805996001999,Safe
Howrah Ghat,2023-07-08,8.871676,76.801424,26.475,6.05,7.1,699.0,0.8,0.6625,500.0,1150.0,yes,91.41333333333333,60.65306597126335,79.5,80,78.66125312471235,Safe
Dakshineswar,2023-03-12,16.5061743,80.6480153,30.0,7.3,7.3,1631.0,0.2,2.0,700.0,0.83,yes,81.82333333333334,49.65853037914095,84.25,78,72.27689244707561,Moderate
Dakshineswar,2023-02-22,21.2341558,73.5785522,27.5,7.0,7.7,351.5,1.5,0.1,2215.0,3170.0,yes,94.405,10.91535142484641,79.75,78,64.78660542745392,Moderate
Howrah Ghat,2023-07-13,31.17,75.2,16.0,7.0,8.0,304.0,1.0,1.5,130.0,550.0,yes,94.42666666666666,87.80954309205613,77.5,80,87.6135295942835,Safe
Howrah Ghat,2023-08-25,25.2401294,86.7404394,24.8571,7.71429,7.91429,368.286,2.82857,1.71167,3685.71,22742.9,yes,91.17637733333332,2.50793620536065,81.714275,80,61.56578679494153,Moderate
Howrah Ghat,2023-02-07,21.24850768681818,78.72098095669318,25.5,7.7,7.7,1683.0,1.77,3.0,80.0,576037.4703817832,yes,78.41,92.31163463866358,83.25,80,83.70749039159908,Safe
Dakshineswar,2023-07-22,24.7000766,75.552632,27.5455,5.52909,8.16727,368.182,1.25636,0.23455,3.45455,10.1818,no,94.45539333333332,99.65514100927298,68.890925,78,89.25688463611523,Safe
Howrah Ghat,2023-10-02,27.8786827,76.281181,30.7,7.6,7.6,1627.0,0.22,3.0,4.0,0.92,yes,81.03666666666666,99.60079893439917,83.5,80,86.99490634698641,Safe
Dakshineswar,2023-08-17,15.654416,74.498003,26.0,6.8,7.66,202.5,1.42833333,3.67916667,530.0,1207.5,yes,93.127222224,58.86049696783552,79.05,78,78.51903797995065,Safe
Dakshineswar,2023-08-12,23.5003515,91.3167995,28.9,6.36,8.036,203.2,3.008,0.406,436.0,528.0,no,93.63253333333331,64.66177259354396,74.03,78,79.45754511139651,Safe
Howrah Ghat,2023-08-30,18.4385553,79.1288412,24.75,8.56666667,8.155,521.6,3.11666667,0.295,26.2,1056.0,no,90.39244444,97.41402420762304,84.17083335000001,80,90.2153517082869,Safe
Bally Bridge,2023-07-25,18.838184,73.092617,26.8333333,6.10833333,6.89166667,608.5,4.18333333,3.09655,65.0833333,134.583333,yes,85.85998222666666,93.6989377706971,79.729166675,74,85.7995075568758,Safe
Howrah Ghat,2023-07-21,26.1833004,91.7370002,26.75,6.975,7.191667,194.0,2.333333,0.1275,153.6364,2224.545,yes,94.84688933333334,85.75837817929725,83.4374975,80,88.35376868712251,Safe
Howrah Ghat,2023-09-04,18.442294,73.767091,26.0,6.09583333,7.68166667,152.436667,2.28333333,0.23083333,36.6666667,340.833333,yes,95.246522226,96.3997414238882,75.366666625,80,90.09186464256646,Safe
Howrah Ghat,2023-01-07,30.517983,77.948925,18.7857,8.32857,7.75286,171.443,0.9,0.05714,275.0,1255.0,yes,97.039858,75.95721232249684,85.9964,80,86.80238689674906,Safe
Dakshineswar,2023-07-03,28.354086,78.267548,18.5286,8.30571,7.55833,230.25,3.63333,0.23091,783.333,1713.33,yes,92.668332,45.68806874338291,87.34107499999999,78,76.04196842301486,Safe
Bally Bridge,2023-09-04,22.533661,88.390152,29.5,7.8,7.8,1835.0,0.1,4.0,7.0,0.49,yes,78.31666666666666,99.3024442933235,83.0,74,85.11739995466372,Safe
Howrah Ghat,2023-04-09,17.2472528,80.1514446,20.0,5.725,7.5875,343.833333,0.65416667,0.2705,4.5,1308.33333,yes,95.47304444333334,99.55101098295704,74.21875,80,90.89827107222044,Safe
Bally Bridge,2023-02-12,11.4709508,77.1142816,27.5833333,6.74166667,7.9625,254.666667,0.97666667,0.17808333,129.166667,285.0,yes,96.00864443933334,87.882748179901,76.48958335,74,87.46619889970364,Safe
Babughat,2023-06-02,21.24850768681818,78.72098095669318,27.0,3.427,7.679,357.53,9.81,0.733333333,224.5,1550.0,yes,82.7580333336,79.89155766999218,62.0425,75,76.97918063443765,Safe
Dakshineswar,2023-01-27,19.518231,72.850182,24.8333333,6.70833333,7.80833333,215.054167,2.45,0.827845455,2.0,51.0833333,yes,93.92051529933332,99.80019986673332,77.479166675,78,90.80409941475332,Safe
Howrah Ghat,2023-07-31,13.034421,80.148091,23.625,6.15,8.254,475.0,2.7,0.167,1524.0,3650.0,no,91.5164,21.78387867689058,71.345,80,65.41072360306717,Moderate
Babughat,2023-01-06,31.404663,76.496791,17.9545455,8.80909091,8.08727273,192.818182,0.35454545,0.38490909,342.090909,1726.36364,no,97.29116364133333,71.02836305994636,85.890909075,75,84.90315618951723,Safe
Howrah Ghat,2023-11-06,20.966734,72.963288,28.0,6.7,8.04,304.19,1.49,0.18,1500.0,3550.0,no,94.82743333333332,22.31301601484298,75.7,80,67.76487813778623,Moderate
